"Date","Price","Open","High","Low","Vol","Change"
"Nov 03, 2018","23,400.0","23,750.0","23,750.0","23,352.0","0.02K","-1.47%"
"Nov 02, 2018","23,750.0","23,963.0","23,964.9","23,345.9","0.02K","-0.89%"
"Nov 01, 2018","23,963.0","23,800.0","24,000.0","22,200.0","0.11K","0.68%"
"Oct 31, 2018","23,800.0","23,450.0","24,000.0","23,270.5","0.10K","1.49%"
"Oct 30, 2018","23,450.0","23,400.0","23,690.0","23,000.0","0.08K","-0.19%"
"Oct 29, 2018","23,494.8","23,213.2","23,650.0","22,200.0","0.17K","1.21%"
"Oct 28, 2018","23,213.2","23,610.0","23,757.8","23,213.2","0.02K","-1.67%"
"Oct 27, 2018","23,608.0","23,800.2","23,999.0","23,601.0","0.02K","-0.81%"
"Oct 26, 2018","23,800.2","24,003.0","24,274.0","23,700.0","0.07K","-0.84%"
"Oct 25, 2018","24,002.5","24,225.0","24,396.0","23,903.0","0.07K","-0.92%"
"Oct 24, 2018","24,225.0","24,045.5","24,400.0","23,500.0","0.12K","0.74%"
"Oct 23, 2018","24,046.0","23,908.2","24,300.0","23,650.0","0.09K","0.58%"
"Oct 22, 2018","23,908.2","24,195.0","24,398.0","23,900.0","0.13K","-0.80%"
"Oct 21, 2018","24,100.0","24,091.0","24,288.7","24,060.0","0.01K","0.04%"
"Oct 20, 2018","24,091.0","24,189.0","24,289.0","24,000.0","0.02K","-0.41%"
"Oct 19, 2018","24,189.0","24,457.6","24,480.0","23,820.0","0.08K","-1.10%"
"Oct 18, 2018","24,457.6","24,299.0","24,499.0","24,125.0","0.08K","0.65%"
"Oct 17, 2018","24,299.0","24,400.0","24,549.0","24,101.0","0.09K","-0.09%"
"Oct 16, 2018","24,320.2","24,498.0","24,600.0","24,100.0","0.10K","-0.73%"
"Oct 15, 2018","24,498.0","23,862.0","25,495.0","23,803.5","0.19K","1.78%"
"Oct 14, 2018","24,068.9","24,090.0","24,095.0","23,536.9","0.04K","-0.09%"
"Oct 13, 2018","24,090.0","24,062.8","24,124.0","23,700.0","0.02K","0.11%"
"Oct 12, 2018","24,062.8","23,815.0","24,190.0","23,710.0","0.05K","1.04%"
"Oct 11, 2018","23,815.0","25,141.0","25,280.0","23,623.3","0.33K","-5.80%"
"Oct 10, 2018","25,280.0","25,231.5","25,600.0","24,900.0","0.15K","0.19%"
"Oct 09, 2018","25,231.5","25,680.0","25,881.1","25,000.0","0.14K","-1.75%"
"Oct 08, 2018","25,680.0","25,695.0","25,940.0","25,200.0","0.16K","-0.06%"
"Oct 07, 2018","25,695.0","25,870.0","26,300.0","25,540.0","0.03K","-0.68%"
"Oct 06, 2018","25,870.0","26,060.2","26,260.0","25,850.0","0.02K","-0.73%"
"Oct 05, 2018","26,060.2","25,883.1","26,300.0","25,711.1","0.10K","0.68%"
"Oct 04, 2018","25,883.1","25,808.0","26,400.0","25,612.0","0.10K","0.29%"
"Oct 03, 2018","25,808.0","26,352.0","26,548.0","25,262.2","0.20K","-2.79%"
"Oct 02, 2018","26,548.0","27,054.0","27,100.0","26,066.0","0.17K","-1.87%"
"Oct 01, 2018","27,054.0","26,730.1","27,100.0","26,688.1","0.11K","1.21%"
"Sep 30, 2018","26,730.1","26,820.0","26,999.9","26,712.0","0.02K","-0.34%"
"Sep 29, 2018","26,820.0","26,951.0","27,100.0","26,701.2","0.02K","-0.49%"
"Sep 28, 2018","26,951.0","27,090.0","27,294.0","26,700.0","0.10K","0.00%"
"Sep 27, 2018","26,950.0","26,760.0","27,196.0","26,545.0","0.11K","0.71%"
"Sep 26, 2018","26,760.0","26,706.0","27,200.0","26,612.3","0.11K","0.20%"
"Sep 25, 2018","26,706.0","27,545.0","27,545.0","26,500.0","0.17K","-3.05%"
"Sep 24, 2018","27,545.0","27,338.1","27,683.0","26,851.0","0.10K","0.76%"
"Sep 23, 2018","27,338.1","27,229.4","27,349.0","27,052.5","0.01K","0.40%"
"Sep 22, 2018","27,229.4","27,320.0","27,650.0","27,000.0","0.03K","-0.33%"
"Sep 21, 2018","27,320.0","26,901.0","27,700.0","26,770.0","0.15K","1.56%"
"Sep 20, 2018","26,901.0","26,750.0","27,051.0","26,524.0","0.09K","0.56%"
"Sep 19, 2018","26,752.0","27,000.0","27,100.0","26,000.0","0.17K","-0.92%"
"Sep 18, 2018","27,000.0","26,570.0","27,290.0","26,300.0","0.12K","1.93%"
"Sep 17, 2018","26,490.0","27,259.0","27,489.0","26,350.0","0.14K","-2.82%"
"Sep 16, 2018","27,259.0","27,430.0","27,597.0","27,100.0","0.02K","-0.62%"
"Sep 15, 2018","27,430.0","27,650.0","27,700.0","27,402.0","0.03K","-0.80%"
"Sep 14, 2018","27,650.0","27,488.1","27,800.0","27,361.0","0.07K","0.57%"
"Sep 13, 2018","27,492.6","26,814.0","27,899.0","26,814.0","0.15K","2.49%"
"Sep 12, 2018","26,824.0","26,615.0","26,996.1","26,252.0","0.14K","0.79%"
"Sep 11, 2018","26,615.0","26,645.0","26,850.0","26,243.0","0.10K","-0.11%"
"Sep 10, 2018","26,645.0","26,930.0","27,470.0","26,002.0","0.13K","-1.06%"
"Sep 09, 2018","26,930.0","26,531.0","27,600.0","26,309.0","0.06K","1.50%"
"Sep 08, 2018","26,531.0","27,222.1","27,380.0","26,500.0","0.06K","-2.54%"
"Sep 07, 2018","27,222.1","27,775.0","27,910.0","27,101.0","0.06K","-1.99%"
"Sep 06, 2018","27,775.0","28,400.0","29,000.0","26,850.0","0.25K","-1.86%"
"Sep 05, 2018","28,300.0","30,799.0","30,998.0","28,300.0","0.25K","-7.81%"
"Sep 04, 2018","30,698.0","30,060.0","31,020.0","29,900.1","0.20K","2.12%"
"Sep 03, 2018","30,060.0","29,199.0","30,540.0","28,800.0","0.24K","2.95%"
"Sep 02, 2018","29,199.0","29,101.0","29,299.5","28,900.0","0.03K","0.34%"
"Sep 01, 2018","29,101.0","29,040.0","29,348.0","28,780.5","0.06K","0.21%"
